slug,desa,kecamatan,kabupaten,provinsi,last_scraped,hero_ada_foto,pengurus_jumlah_foto,pengurus_jumlah_orang,unit_usaha_ada_data,unit_usaha_jumlah_foto,unit_usaha_jumlah_foto_unik,produk_usaha_jumlah_foto,produk_usaha_jumlah_foto_unik,galeri_jumlah_foto,galeri_jumlah_foto_unik,galeri_skor,artikel_jumlah_foto,artikel_jumlah_foto_unik,completeness_score,scrape_incomplete,potensi_jumlah_terisi,penduduk_laki_laki,penduduk_perempuan,penduduk_total,potensi_nilai_total_rp,potensi_sdm_total,potensi_jumlah_jenis,kode_desa,artikel_tanggal_lokal_terbaru,artikel_hari_sejak_update_lokal,artikel_jumlah_lokal,artikel_jumlah_nasional,artikel_ada_nasional,tentang_ada_konten,potensi_ada_data,pengurus_terisi,pengurus_foto_asli,produk_usaha_ada,artikel_ada_lokal,pengurus_data_belum_ada,personel_completeness,keaktifan_score,kelengkapan_usaha_score,kopdes_density_kecamatan,penduduk_total_calc,penduduk_data_konsisten,kopdes_per_1000_penduduk,kopdes_per_1000_penduduk_log,kopdes_lq_kecamatan,personel_completeness_zscore_kabupaten,keaktifan_score_zscore_kabupaten,kelengkapan_usaha_score_zscore_kabupaten,digital_readiness_score,potensi_nilai_outlier_suspect,potensi_nilai_total_rp_capped,lof_outlier,pengurus_jumlah_foto_capped,unit_usaha_jumlah_foto_capped,unit_usaha_jumlah_foto_unik_capped,produk_usaha_jumlah_foto_capped,produk_usaha_jumlah_foto_unik_capped,galeri_jumlah_foto_capped,galeri_jumlah_foto_unik_capped,artikel_jumlah_foto_capped,artikel_jumlah_foto_unik_capped,potensi_sdm_total_capped,penduduk_total_capped,cluster_k7,publikasi_konten_score,kelengkapan_profil_score,indeks_digitalisasi_operasional,log_potensi_nilai,log_potensi_jumlah
brengkok-kecamatan-brondong,Brengkok,Brondong,Kabupaten Lamongan,Jawa Timur,2026-07-23 12:48:20,False,0,6,True,1,1,0,0,20,1,1,0,0,26.0,False,0,732,7107,14427,0,0,0,35.24.07.2004,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,5,7839,False,0.12406947890818859,0.11695556353635105,0.823,-0.986,-0.214,0.462,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,14427.0,6,0.0,0.0,0.11695143999999999,0.0,0.0
bringin-kecamatan-badas,Bringin,Badas,Kabupaten Kediri,Jawa Timur,2026-07-23 12:01:28,True,0,6,True,1,1,9,9,20,1,1,0,0,56.0,False,4,3918,3817,7735,13944300000,1105,4,35.06.26.2003,,,0,3,True,False,True,True,False,True,False,False,0.0,0.02882,0.8356666666666666,3,7735,True,0.1052853232259423,0.10010351270317794,0.595,-0.527,0.003,1.79,0.304684588,False,13944300000.0,False,0,1.0,1.0,9.0,4.51135192126215,20.0,1.0,0.0,0.0,1105.0,7735.0,3,0.0,0.5252,0.33112643999999997,23.358336659634357,1.6094379124341003
bringin-kecamatan-bayan,Bringin,Bayan,Kabupaten Purworejo,Jawa Tengah,2026-07-23 12:01:28,True,0,6,True,2,2,0,0,40,2,2,0,0,37.0,False,0,121,1176,2386,0,0,0,33.06.08.2021,,,0,3,True,False,False,True,False,False,False,False,0.0,0.05764,0.6266333333333334,19,1297,False,0.11331039294851533,0.10733791297214655,1.575,-0.487,0.117,0.6,0.235212536,False,0.0,False,0,2.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,2386.0,6,0.0,0.5252,0.28622608,0.0,0.0
bringin-kecamatan-bringin,Bringin,Bringin,Kabupaten Ngawi,Jawa Timur,2026-07-23 12:01:28,True,5,6,True,1,1,0,0,20,1,1,1,1,71.0,False,9,282,2899,5719,370340885,886,9,35.21.15.2004,,,0,1,True,True,True,True,True,False,False,False,0.8333333333333334,0.20072,0.5444666666666667,4,3181,False,0.1518141794443601,0.1413382466973819,0.58,0.595,0.116,0.692,0.6160895013333334,False,370340885.0,False,5,1.0,1.0,0.0,0.0,20.0,1.0,1.0,1.0,886.0,5719.0,0,0.2688,1.0,0.74169208,19.72993445296726,2.302585092994046
bringin-kecamatan-ciwaringin,Bringin,Ciwaringin,Kabupaten Cirebon,Jawa Barat,2026-07-23 12:01:28,True,0,8,True,1,1,0,0,20,1,1,0,0,61.0,False,5,2599,2616,5215,9014000000,1205,5,32.09.26.2010,,,0,3,True,True,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,7,5215,True,0.19760056457304165,0.1803200255435459,0.74,-0.413,-0.316,0.695,0.200417308,False,9014000000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,1205.0,5215.0,3,0.0,1.0,0.40565144,22.922044761325807,1.791759469228055
bringin-kecamatan-dasuk,Bringin,Dasuk,Kabupaten Sumenep,Jawa Timur,2026-07-23 12:57:53,False,1,6,False,0,0,0,0,0,0,0,0,0,35.0,False,0,2078,2256,4334,0,0,0,35.29.14.2007,,,0,3,True,True,False,True,True,False,False,False,0.16666666666666666,0.0,0.0,15,4334,True,0.1129364995708413,0.10700201727033037,1.284,-0.468,-0.451,-0.749,0.0769666666666666,False,0.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4334.0,5,0.0,0.4748,0.19687476,0.0,0.0
bringin-kecamatan-juwana,Bringin,Juwana,Kabupaten Pati,Jawa Tengah,2026-07-23 12:01:28,False,0,6,True,2,2,0,0,40,2,2,0,0,27.0,False,0,1181,1211,2392,0,0,0,33.18.08.2002,,,0,3,True,False,False,True,False,False,False,False,0.0,0.05764,0.6266333333333334,10,2392,True,0.2957267484844004,0.25907173348091067,1.942,-0.577,-0.352,-0.753,0.235212536,False,0.0,False,0,2.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,2392.0,6,0.0,0.0,0.13460084,0.0,0.0
bringin-kecamatan-kauman,Bringin,Kauman,Kabupaten Ponorogo,Jawa Timur,2026-07-23 12:01:28,True,0,4,True,1,1,0,0,20,1,1,1,1,61.0,False,3,1235,1335,257,19590000000,780,3,35.02.12.2006,,,0,1,True,True,True,True,False,False,False,False,0.0,0.20072,0.5444666666666667,15,2570,False,0.17744339555681737,0.16334547403899838,1.05,-0.451,2.496,0.825,0.231256168,False,19590000000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,1.0,1.0,780.0,257.0,3,0.2688,1.0,0.44269208,23.698285068953908,1.3862943611198906
bringin-kecamatan-srumbung,Bringin,Srumbung,Kabupaten Magelang,Jawa Tengah,2026-07-23 12:01:28,True,6,6,True,1,1,0,0,20,1,1,0,0,61.0,False,2,3412,3403,6815,2781750000,850,2,33.08.05.2011,,,0,3,True,False,True,True,True,False,False,False,1.0,0.02882,0.5444666666666667,17,6815,True,0.18869599964480754,0.17285690767936066,1.021,2.371,-0.268,0.289,0.662217308,False,2781750000.0,False,6,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,850.0,6815.0,0,0.0,0.5252,0.62737668,21.74634606336157,1.0986122886681098
bringin-kecamatan-tambelangan,Bringin,Tambelangan,Kabupaten Sampang,Jawa Timur,2026-07-23 12:53:49,False,0,6,True,1,1,0,0,20,1,1,0,0,51.0,False,2,321,319,64,962500000,970,2,35.27.08.2004,,,0,3,True,True,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,9,640,False,0.2042298266315694,0.18584021457685188,0.824,-0.574,-0.32,0.534,0.200417308,False,962500000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,970.0,64.0,3,0.0,0.4748,0.2540262,20.685044625165176,1.0986122886681098
bringin-kecamatan-wajak,Bringin,Wajak,Kabupaten Malang,Jawa Timur,2026-07-23 12:01:28,False,4,6,True,1,1,0,0,20,1,1,0,0,51.0,False,6,3118,304,6158,7570000000,2500,6,35.07.08.2004,,,0,3,True,False,True,True,True,False,False,False,0.6666666666666666,0.02882,0.5444666666666667,9,3422,False,0.18068660911463563,0.1660961413866726,1.237,0.608,-0.186,0.978,0.5082839746666666,False,7570000000.0,False,4,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,2263.199999999997,6158.0,0,0.0,0.0,0.35615144,22.747458904527868,1.9459101490553132
bringinan-kecamatan-jambon,Bringinan,Jambon,Kabupaten Ponorogo,Jawa Timur,2026-07-23 12:01:28,False,0,4,True,2,2,0,0,40,2,2,0,0,42.0,False,6,6510,6770,1328,13893600000,1859,6,35.02.20.2004,,,0,3,True,False,True,True,False,False,False,False,0.0,0.05764,0.6266333333333334,13,13280,False,0.16881362975275296,0.15598924270801723,0.91,-0.451,0.427,1.126,0.235212536,False,13893600000.0,False,0,2.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,1859.0,1328.0,3,0.0,0.0,0.13460084,23.354694139469153,1.9459101490553132
bringinsari-kecamatan-sukorejo,Bringinsari,Sukorejo,Kabupaten Kendal,Jawa Tengah,2026-07-23 12:01:28,True,6,6,True,3,3,0,0,60,3,3,0,0,73.0,False,5,2491,2136,4627,820000000,251,5,33.24.03.2002,,,0,3,True,True,True,True,True,False,False,False,1.0,0.08646,0.7088,17,4627,True,0.347840320831543,0.29850354911718485,1.457,2.164,-0.136,1.625,0.731807764,False,820000000.0,False,6,3.0,3.0,0.0,0.0,60.0,3.0,0.0,0.0,251.0,4627.0,0,0.0,1.0,0.7997502400000001,20.524814899442084,1.791759469228055
bringkeng-kecamatan-kawunganten,Bringkeng,Kawunganten,Kabupaten Cilacap,Jawa Tengah,2026-07-23 12:01:28,True,2,6,True,1,1,0,0,20,1,1,0,0,46.0,False,0,2048,1941,3989,0,0,0,33.01.09.2002,,,0,3,True,False,False,True,True,False,False,False,0.3333333333333333,0.02882,0.5444666666666667,9,3989,True,0.11768090169722012,0.11125591511771411,0.809,-0.463,-0.721,-0.634,0.3543506413333333,False,0.0,False,2,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,3989.0,6,0.0,0.5252,0.38817668,0.0,0.0
brodot-kecamatan-bandarkedungmulyo,Brodot,Bandarkedungmulyo,Kabupaten Jombang,Jawa Timur,2026-07-23 12:35:07,False,6,6,True,1,1,0,0,20,1,1,0,0,51.0,False,3,2647,2631,5278,54543370,1062,3,35.17.18.2006,,,0,3,True,False,True,True,True,False,False,False,1.0,0.02882,0.5444666666666667,11,5278,True,0.21530632217655118,0.1949961620340948,1.031,1.236,-0.344,0.875,0.662217308,False,54543370.0,False,6,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,1062.0,5278.0,0,0.0,0.0,0.47575144,17.814506741319143,1.3862943611198906
brohol-kecamatan-sei-suka,Brohol,Sei Suka,Kabupaten Batu Bara,Sumatera Utara,2026-07-23 12:01:28,True,6,6,True,1,1,0,0,20,1,1,0,0,71.0,False,7,1436,1515,2951,2220000000,329,7,12.19.02.2020,,,0,3,True,True,True,True,True,False,False,False,1.0,0.02882,0.5444666666666667,9,2951,True,0.2079818824671273,0.18895110144247662,0.761,2.815,-0.264,0.717,0.662217308,False,2220000000.0,False,6,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,329.0,2951.0,0,0.0,1.0,0.76445144,21.52077303328105,2.0794415416798357
brojol-kecamatan-miri,Brojol,Miri,Kabupaten Sragen,Jawa Tengah,2026-07-23 12:01:28,False,0,6,True,1,1,0,0,20,1,1,0,0,26.0,False,0,1514,1503,3017,0,0,0,33.14.14.2007,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,1,3017,True,0.33145508783559824,0.2862723952002211,0.198,-0.279,-0.3,-0.331,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,3017.0,6,0.0,0.0,0.11695143999999999,0.0,0.0
brokoh-kecamatan-wonotunggal,Brokoh,Wonotunggal,Kabupaten Batang,Jawa Tengah,2026-07-23 12:01:28,True,0,6,True,1,1,0,0,20,1,1,0,0,36.0,False,0,1634,1617,3251,0,0,0,33.25.01.2007,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,15,3251,True,0.10688099869605182,0.10154614902852113,0.918,-0.587,-0.33,-0.27,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,3251.0,6,0.0,0.5252,0.26857668,0.0,0.0
brondong-kecamatan-brondong,Brondong,Brondong,Kabupaten Lamongan,Jawa Timur,2026-07-23 12:48:28,True,6,6,True,2,2,311,1,40,2,2,3,3,77.0,False,2,8422,8326,16748,1340871222000,0,2,35.24.07.1010,,,0,3,True,True,True,True,True,True,False,False,1.0,0.40144,0.9178333333333333,5,16748,True,0.12406947890818859,0.11695556353635105,0.823,1.232,3.23,1.698,0.8629575359999999,False,1340871222000.0,False,6,2.0,2.0,18.764235376052365,1.0,40.0,2.0,3.0,3.0,0.0,16748.0,2,0.5376,1.0,0.91873188,27.924340684297622,1.0986122886681098
brondong-kecamatan-bruno,Brondong,Bruno,Kabupaten Purworejo,Jawa Tengah,2026-07-23 12:01:28,True,0,6,True,1,1,0,0,20,1,1,0,0,46.0,False,0,2179,2045,4224,0,0,0,33.06.13.2009,,,0,3,True,True,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,18,4224,True,0.1467351430667645,0.136918898724944,1.492,-0.487,-0.171,0.251,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,4224.0,6,0.0,1.0,0.40565144,0.0,0.0
brondong-kecamatan-kesesi,Brondong,Kesesi,Kabupaten Pekalongan,Jawa Tengah,2026-07-23 12:01:28,False,1,4,True,1,1,0,0,20,1,1,0,0,36.0,False,0,1016,9760,1992,0,0,0,33.26.09.2003,,,0,3,True,False,False,True,True,False,False,False,0.25,0.02882,0.5444666666666667,8,10776,False,0.16291951775822744,0.15093366887042417,1.662,1.021,-0.244,-0.05,0.315867308,False,0.0,False,1,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,1992.0,6,0.0,0.0,0.20665144,0.0,0.0
brongkal-kecamatan-pagelaran,Brongkal,Pagelaran,Kabupaten Malang,Jawa Timur,2026-07-23 12:22:00,False,0,3,False,0,0,0,0,0,0,0,0,0,0.0,False,0,5021,4899,992,0,0,0,35.07.33.2006,,,0,3,True,False,False,False,False,False,False,False,0.0,0.0,0.0,5,9920,False,0.09183073758448428,0.0878558630966182,0.687,-0.934,-0.381,-0.823,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,5,0.0,0.0,0.0,0.0,0.0
broto-kecamatan-slahung,Broto,Slahung,Kabupaten Ponorogo,Jawa Timur,2026-07-23 12:01:28,False,0,4,False,0,0,0,0,0,0,0,0,0,15.0,False,0,8870,9680,1855,0,0,0,35.02.01.2005,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,22,18550,False,0.10373003786146381,0.09869538702975555,1.54,-0.451,-0.407,-1.156,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.0,5,0.0,0.0,0.0,0.0,0.0
brotonegaran-kecamatan-ponorogo,Brotonegaran,Ponorogo,Kabupaten Ponorogo,Jawa Timur,2026-07-23 12:01:28,True,1,5,True,1,1,0,0,20,1,1,0,0,61.0,False,1,2321,2326,4647,30000000000,300,1,35.02.17.1002,,,0,3,True,False,True,True,True,False,False,False,0.2,0.02882,0.5444666666666667,19,4647,True,0.17077577141213587,0.15766658157648772,1.33,0.221,0.01,0.825,0.292777308,False,30000000000.0,False,1,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,300.0,4647.0,3,0.0,0.5252,0.34033668,24.1244632186419,0.6931471805599453
brubuh-kecamatan-jogorogo,Brubuh,Jogorogo,Kabupaten Ngawi,Jawa Timur,2026-07-23 12:42:46,False,3,6,False,0,0,0,0,0,0,0,0,0,25.0,False,0,8860,9010,1787,0,0,0,35.21.03.2008,,,0,3,True,False,False,True,True,False,False,False,0.5,0.0,0.0,11,17870,False,0.15289032204261468,0.1422721127750239,1.595,-0.181,-0.699,-1.294,0.2309,False,0.0,False,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.0,4,0.0,0.0,0.1794,0.0,0.0
brujul-kecamatan-jaten,Brujul,Jaten,Kabupaten Karanganyar,Jawa Tengah,2026-07-23 12:01:28,False,0,3,True,2,2,0,0,40,2,2,0,0,12.0,False,0,3229,3267,6496,0,0,0,33.13.11.2008,,,0,3,True,False,False,False,False,False,False,False,0.0,0.05764,0.6266333333333334,8,6496,True,0.12698412698412698,0.11954515064978273,0.819,-0.495,-0.246,-0.194,0.235212536,False,0.0,False,0,2.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,6496.0,6,0.0,0.0,0.13460084,0.0,0.0
brumbun-kecamatan-maduran,Brumbun,Maduran,Kabupaten Lamongan,Jawa Timur,2026-07-23 12:48:39,True,6,6,True,1,1,0,0,20,1,1,0,0,46.0,False,0,7240,7910,1515,0,0,0,35.24.10.2003,,,0,3,True,False,False,True,True,False,False,False,1.0,0.02882,0.5444666666666667,10,15150,False,0.09903049148832926,0.09442841979395712,1.646,1.232,-0.214,0.462,0.662217308,False,0.0,False,6,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,1515.0,0,0.0,0.5252,0.62737668,0.0,0.0
brunorejo-kecamatan-bruno,Brunorejo,Bruno,Kabupaten Purworejo,Jawa Tengah,2026-07-23 12:01:28,False,0,8,True,1,1,0,0,20,1,1,0,0,26.0,False,0,3383,3127,651,0,0,0,33.06.13.2004,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,18,6510,False,0.1467351430667645,0.136918898724944,1.492,-0.487,-0.171,0.251,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,651.0,6,0.0,0.0,0.11695143999999999,0.0,0.0
brunosari-kecamatan-bruno,Brunosari,Bruno,Kabupaten Purworejo,Jawa Tengah,2026-07-23 12:01:28,False,0,8,True,1,1,0,0,20,1,1,0,0,26.0,False,0,2463,2283,4746,0,0,0,33.06.13.2005,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,18,4746,True,0.1467351430667645,0.136918898724944,1.492,-0.487,-0.171,0.251,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,4746.0,6,0.0,0.0,0.11695143999999999,0.0,0.0
bua-kecamatan-batudaa,Bua,Batudaa,Kabupaten Gorontalo,Gorontalo,2026-07-23 14:10:54,True,6,6,True,1,1,0,0,20,1,1,2,2,71.0,False,5,7660,8390,1605,2030000000,248,5,75.01.03.2002,,,0,2,True,True,True,True,True,False,False,False,1.0,0.37262,0.5444666666666667,2,16050,False,0.05891016200294551,0.05724023016235056,0.376,2.235,1.625,0.795,0.723895028,False,2030000000.0,False,6,1.0,1.0,0.0,0.0,20.0,1.0,2.0,2.0,248.0,1605.0,2,0.5376,1.0,0.8385327200000001,21.43130163049272,1.791759469228055
buahan-kecamatan-tabanan,Buahan,Tabanan,Kabupaten Tabanan,Bali,2026-07-23 13:16:10,False,0,6,False,0,0,0,0,0,0,0,0,0,15.0,False,0,1322,1326,2648,0,0,0,51.02.05.2011,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,4,2648,True,0.20649424397294924,0.18771883522444846,1.143,-0.46,-0.494,-0.859,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2648.0,5,0.0,0.0,0.0,0.0,0.0
bualo-kecamatan-paguyaman,Bualo,Paguyaman,Kabupaten Boalemo,Gorontalo,2026-07-23 14:12:01,False,0,6,False,0,0,0,0,0,0,0,0,0,30.0,False,6,6480,6150,1263,4179850000,792,6,75.02.01.2021,,,0,3,True,False,True,True,False,False,False,False,0.0,0.0,0.0,8,12630,False,0.08485272748485909,0.08144424274259282,2.074,-0.482,-0.308,-0.577,0.0,False,4179850000.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,1263.0,1,0.0,0.0,0.0,22.153541197910968,1.9459101490553132
buana-sakti-kecamatan-batanghari,Buana Sakti,Batanghari,Kabupaten Lampung Timur,Lampung,2026-07-23 12:01:28,True,0,7,True,1,1,0,0,20,1,1,0,0,61.0,False,3,1437,1375,2812,930000000,65,3,18.07.06.2002,,,0,3,True,True,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,11,2812,True,0.33538630404292946,0.2892206163181445,2.155,-0.736,-0.362,0.453,0.200417308,False,930000000.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,65.0,2812.0,3,0.0,1.0,0.40565144,20.650695145186845,1.3862943611198906
buanajaya-kecamatan-tanjungsari,Buanajaya,Tanjungsari,Kabupaten Bogor,Jawa Barat,2026-07-23 12:01:28,True,1,6,False,0,0,0,0,0,0,0,0,0,45.0,False,0,3133,2956,6089,0,0,0,32.01.36.2009,,,0,3,True,True,False,True,True,False,False,False,0.16666666666666666,0.0,0.0,8,6089,True,0.15505077913016513,0.1441443076222031,0.791,-0.118,-0.427,-0.776,0.0769666666666666,False,0.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6089.0,5,0.0,1.0,0.34850000000000003,0.0,0.0
buangin-kecamatan-rantebua,Buangin,Rantebua,Kabupaten Toraja Utara,Sulawesi Selatan,2026-07-23 14:04:27,False,2,4,False,0,0,0,0,0,0,0,0,0,35.0,False,0,4150,4040,8190,0,0,0,73.26.18.1005,,,0,3,True,True,False,True,True,False,False,False,0.5,0.0,0.0,1,8190,True,0.1221001221001221,0.11520203850261762,0.818,0.803,-0.595,-1.261,0.2309,False,0.0,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8190.0,4,0.0,0.4748,0.31647476,0.0,0.0
buangin-kecamatan-rantebulahan-timur,Buangin,Rantebulahan Timur,Kabupaten Mamasa,Sulawesi Barat,2026-07-23 14:14:42,False,5,5,True,1,1,0,0,20,1,1,0,0,61.0,False,5,5100,5110,1021,282163000000,812,5,76.03.15.2004,,,0,3,True,True,True,True,True,False,False,False,1.0,0.02882,0.5444666666666667,2,10210,False,0.15748031496062992,0.14624550032014502,0.857,1.839,-0.526,0.372,0.662217308,False,282163000000.0,False,5,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,812.0,1021.0,0,0.0,0.4748,0.6128262,26.365750755086612,1.791759469228055
buangin-kecamatan-sabbang-selatan,Buangin,Sabbang Selatan,Kabupaten Luwu Utara,Sulawesi Selatan,2026-07-23 14:03:39,False,0,3,False,0,0,0,0,0,0,0,0,0,15.0,False,0,2194,2189,4383,0,0,0,73.22.15.2001,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,3,4383,True,0.11497777096428025,0.10883446835844471,0.738,-0.617,-0.337,-0.692,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4383.0,5,0.0,0.0,0.0,0.0,0.0
buaran-kecamatan-serpong,Buaran,Serpong,Kota Tangerang Selatan,Banten,2026-07-23 13:15:14,False,0,9,False,0,0,0,0,0,0,0,0,0,15.0,False,0,11145,110,22145,0,0,0,36.74.01.1006,,,0,3,True,False,False,True,False,False,False,False,0.0,0.0,0.0,8,11255,False,0.06682928459250843,0.0646909638230712,1.12,-0.569,-0.621,-1.436,0.0,False,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22145.0,5,0.0,0.0,0.0,0.0,0.0
buas-buas-kecamatan-candi-laras-utara,Buas-Buas,Candi Laras Utara,Kabupaten Tapin,Kalimantan Selatan,2026-07-23 13:38:09,False,5,5,False,0,0,0,0,0,0,0,0,0,25.0,False,0,6600,5940,1254,0,0,0,63.05.06.2007,,,0,3,True,False,False,True,True,False,False,False,1.0,0.0,0.0,2,12540,False,0.08576329331046312,0.08228323579368381,0.571,1.437,-0.305,-0.393,0.4618,False,0.0,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254.0,4,0.0,0.0,0.3588,0.0,0.0
buat-kecamatan-bathin-iii-ulu,Buat,Bathin III Ulu,Kabupaten Bungo,Jambi,2026-07-23 12:01:28,True,1,6,False,0,0,0,0,0,0,0,0,0,45.0,False,0,6330,5800,1213,0,0,0,15.08.14.2002,,,0,3,True,True,False,True,True,False,False,False,0.16666666666666666,0.0,0.0,4,12130,False,0.11851851851851852,0.11200505837649488,1.061,0.215,-0.334,-0.334,0.0769666666666666,False,0.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.0,5,0.0,1.0,0.34850000000000003,0.0,0.0
buata-kecamatan-atinggola,Buata,Atinggola,Kabupaten Gorontalo Utara,Gorontalo,2026-07-23 14:13:33,True,0,6,True,1,1,0,0,20,1,1,0,0,36.0,False,0,2480,2320,4800,0,0,0,75.05.01.2005,,,0,3,True,False,False,True,False,False,False,False,0.0,0.02882,0.5444666666666667,4,4800,True,0.10902153175252112,0.1034781236464079,1.5,-0.76,-0.274,0.529,0.200417308,False,0.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,4800.0,6,0.0,0.5252,0.26857668,0.0,0.0
buayan-kecamatan-buayan,Buayan,Buayan,Kabupaten Kebumen,Jawa Tengah,2026-07-23 12:01:28,True,3,6,True,1,1,0,0,20,1,1,0,0,71.0,False,2,1375,1364,2739,3850000000,93,2,33.05.02.2009,,,0,3,True,True,True,True,True,False,False,False,0.5,0.02882,0.5444666666666667,20,2739,True,0.1592584924591104,0.14778057008456227,1.153,1.02,-0.386,-0.546,0.431317308,False,3850000000.0,False,3,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,93.0,2739.0,0,0.0,1.0,0.58505144,22.071338985505843,1.0986122886681098
bubak-kecamatan-kandangserang,Bubak,Kandangserang,Kabupaten Pekalongan,Jawa Tengah,2026-07-23 12:01:28,False,0,4,True,2,2,0,0,40,2,2,0,0,27.0,False,0,1142,1126,2268,0,0,0,33.26.01.2007,,,0,3,True,False,False,True,False,False,False,False,0.0,0.05764,0.6266333333333334,7,2268,True,0.13408420488066505,0.1258254572936678,1.455,-0.342,0.042,0.57,0.235212536,False,0.0,False,0,2.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,2268.0,6,0.0,0.0,0.13460084,0.0,0.0
bubakan-kecamatan-tulakan,Bubakan,Tulakan,Kabupaten Pacitan,Jawa Timur,2026-07-23 12:01:28,False,0,6,True,1,1,0,0,20,1,1,0,0,41.0,False,7,2591,2467,5058,7,7,7,35.01.10.2012,,,0,3,True,False,True,True,False,False,False,False,0.0,0.02882,0.5444666666666667,14,5058,True,0.21424745581146223,0.19412450696580638,1.018,-1.33,-0.119,0.418,0.200417308,False,7.0,False,0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,7.0,5058.0,3,0.0,0.0,0.11695143999999999,2.0794415416798357,2.0794415416798357
bubu-kecamatan-kambowa,Bubu,Kambowa,Kabupaten Buton Utara,Sulawesi Tenggara,2026-07-23 14:09:13,False,3,6,True,1,1,0,0,20,1,1,0,0,36.0,False,0,5120,5230,1035,0,0,0,74.10.02.2001,,,0,3,True,False,False,True,True,False,False,False,0.5,0.02882,0.5444666666666667,2,10350,False,0.1152073732718894,0.10904037261622684,0.714,0.169,-0.267,-0.267,0.431317308,False,0.0,False,3,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,1035.0,6,0.0,0.0,0.29635144,0.0,0.0
